Date,Depth,Site,Plot,Year,Value
2022-01-04,20,OH_Auglaize2,SW,2022,0.25
2022-01-05,20,OH_Auglaize2,SW,2022,0.58
2022-01-06,20,OH_Auglaize2,SW,2022,0.92
2022-01-07,50,OH_Auglaize2,SW,2022,0.01
2022-01-08,20,OH_Auglaize2,SW,2022,0.05
2022-01-09,50,OH_Auglaize2,SW,2022,0.34
2022-01-10,10,OH_Auglaize2,SW,2022,0.39
2022-01-11,50,OH_Auglaize2,SW,2022,0.94
2022-01-12,30,OH_Auglaize2,SW,2022,0.8
2022-01-13,30,OH_Auglaize2,SW,2022,0.29
2022-01-14,50,OH_Auglaize2,SW,2022,0.58
2022-01-15,20,OH_Auglaize2,SW,2022,0.41
2022-01-16,50,OH_Auglaize2,SW,2022,0.16
2022-01-17,20,OH_Auglaize2,SW,2022,0.76
2022-01-18,10,OH_Auglaize2,SW,2022,0.91
2022-01-19,10,OH_Auglaize2,SW,2022,0.09
2022-01-20,20,OH_Auglaize2,SW,2022,0.54
2022-01-21,20,OH_Auglaize2,SW,2022,0.73
2022-01-22,20,OH_Auglaize2,SW,2022,0.03
2022-01-23,20,OH_Auglaize2,SW,2022,0.33
2022-01-24,10,OH_Auglaize2,SW,2022,0.38
2022-01-25,10,OH_Auglaize2,SW,2022,0.2
2022-01-26,20,OH_Auglaize2,SW,2022,0.92
2022-01-27,20,OH_Auglaize2,SW,2022,0.38
2022-01-28,20,OH_Auglaize2,SW,2022,0.19
2022-01-29,30,OH_Auglaize2,SW,2022,0.44
2022-01-30,30,OH_Auglaize2,SW,2022,0.36
2022-01-31,50,OH_Auglaize2,SW,2022,0.57
2022-02-01,30,OH_Auglaize2,SW,2022,0.21
2022-02-02,10,OH_Auglaize2,SW,2022,0.26
2022-02-03,50,OH_Auglaize2,SW,2022,0.84
2022-02-04,10,OH_Auglaize2,SW,2022,0.98
2022-02-05,20,OH_Auglaize2,SW,2022,0.87
2022-02-06,20,OH_Auglaize2,SW,2022,0.92
2022-02-07,50,OH_Auglaize2,SW,2022,0.13
2022-02-08,50,OH_Auglaize2,SW,2022,0.81
2022-02-09,50,OH_Auglaize2,SW,2022,0.8
2022-02-10,10,OH_Auglaize2,SW,2022,0.05
2022-02-11,10,OH_Auglaize2,SW,2022,0.72
2022-02-12,20,OH_Auglaize2,SW,2022,0.88
2022-02-13,30,OH_Auglaize2,SW,2022,0.42
2022-02-14,20,OH_Auglaize2,SW,2022,0.63
2022-02-15,20,OH_Auglaize2,SW,2022,0.86
2022-02-16,10,OH_Auglaize2,SW,2022,0.36
2022-02-17,50,OH_Auglaize2,SW,2022,0.97
2022-02-18,30,OH_Auglaize2,SW,2022,0.27
2022-02-19,50,OH_Auglaize2,SW,2022,0.15
2022-02-20,20,OH_Auglaize2,SW,2022,0.61
2022-02-21,10,OH_Auglaize2,SW,2022,0.02
2022-02-22,20,OH_Auglaize2,SW,2022,0.01
2022-02-23,30,OH_Auglaize2,SW,2022,0.86
2022-02-24,30,OH_Auglaize2,SW,2022,0.0
2022-02-25,10,OH_Auglaize2,SW,2022,0.31
2022-02-26,20,OH_Auglaize2,SW,2022,0.08
2022-02-27,50,OH_Auglaize2,SW,2022,0.54
2022-02-28,30,OH_Auglaize2,SW,2022,0.61
2022-03-01,30,OH_Auglaize2,SW,2022,0.02
2022-03-02,50,OH_Auglaize2,SW,2022,0.07
2022-03-03,30,OH_Auglaize2,SW,2022,0.73
2022-03-04,30,OH_Auglaize2,SW,2022,0.03
2022-03-05,30,OH_Auglaize2,SW,2022,0.57
2022-03-06,50,OH_Auglaize2,SW,2022,0.92
2022-03-07,20,OH_Auglaize2,SW,2022,0.08
2022-03-08,10,OH_Auglaize2,SW,2022,0.23
2022-03-09,50,OH_Auglaize2,SW,2022,0.49
2022-03-10,10,OH_Auglaize2,SW,2022,0.31
2022-03-11,10,OH_Auglaize2,SW,2022,0.98
2022-03-12,50,OH_Auglaize2,SW,2022,0.36
2022-03-13,10,OH_Auglaize2,SW,2022,0.33
2022-03-14,20,OH_Auglaize2,SW,2022,0.66
2022-03-15,20,OH_Auglaize2,SW,2022,0.2
2022-03-16,50,OH_Auglaize2,SW,2022,0.92
2022-03-17,20,OH_Auglaize2,SW,2022,0.84
2022-03-18,50,OH_Auglaize2,SW,2022,0.08
2022-03-19,20,OH_Auglaize2,SW,2022,0.82
2022-03-20,50,OH_Auglaize2,SW,2022,0.31
2022-03-21,10,OH_Auglaize2,SW,2022,0.41
2022-03-22,30,OH_Auglaize2,SW,2022,0.74
2022-03-23,30,OH_Auglaize2,SW,2022,0.64
2022-03-24,50,OH_Auglaize2,SW,2022,0.49
2022-03-25,30,OH_Auglaize2,SW,2022,0.39
2022-03-26,10,OH_Auglaize2,SW,2022,0.67
2022-03-27,50,OH_Auglaize2,SW,2022,0.67
2022-03-28,30,OH_Auglaize2,SW,2022,0.79
2022-03-29,30,OH_Auglaize2,SW,2022,0.55
2022-03-30,30,OH_Auglaize2,SW,2022,0.99
2022-03-31,30,OH_Auglaize2,SW,2022,0.21
2022-04-01,30,OH_Auglaize2,SW,2022,0.76
2022-04-02,50,OH_Auglaize2,SW,2022,0.57
2022-04-03,10,OH_Auglaize2,SW,2022,0.49
2022-04-04,30,OH_Auglaize2,SW,2022,0.65
2022-04-05,50,OH_Auglaize2,SW,2022,0.13
2022-04-06,50,OH_Auglaize2,SW,2022,0.23
2022-04-07,20,OH_Auglaize2,SW,2022,0.57
2022-04-08,10,OH_Auglaize2,SW,2022,0.03
2022-04-09,30,OH_Auglaize2,SW,2022,0.87
2022-04-10,30,OH_Auglaize2,SW,2022,0.96
2022-04-11,30,OH_Auglaize2,SW,2022,0.71
2022-04-12,30,OH_Auglaize2,SW,2022,0.55
2022-04-13,50,OH_Auglaize2,SW,2022,0.15
